loop,cum_reward
1125,-51869.94523067908
1126,-51868.62971295362
1127,-51982.57552591556
1128,-52044.642552680605
1129,-52046.56415403863
1130,-52069.530820705295
1131,-52087.87637953311
1132,-52157.419223910474
1133,-51948.41271620068
1134,-51967.31934821691
1135,-51993.17201150831
1136,-52062.59520743496
1137,-52072.43888370386
1138,-52074.36048506188
1139,-52095.05418288216
1140,-52063.70444311509
1141,-52090.17923500424
1142,-52122.45344848891
1143,-52029.731317735685
1144,-52253.510347030235
1145,-53102.15081004761
1146,-53076.43884485796
1147,-53101.0221781913
1148,-53042.25272541733
1149,-53047.469392084
1150,-52844.48816529412
1151,-52783.969903336474
1152,-52784.08750345608
1153,-52784.10274462652
1154,-52784.11798579696
1155,-52792.49262929717
1156,-52800.50929596384
1157,-52819.766328955215
1158,-52821.68793031324
1159,-52840.47304225294
1160,-52895.17304225294
1161,-52918.70523476545
1162,-52920.626836123476
1163,-52996.42683612348
1164,-53020.4350356395
1165,-52894.99223851029
1166,-52952.62179895052
1167,-52904.061174985174
1168,-52905.9827763432
1169,-52907.90437770122
1170,-52905.633954111574
1171,-52920.01684886087
1172,-52951.361730368626
1173,-52933.81982952265
1174,-52955.93446566558
1175,-53268.9108829732
1176,-53887.12082989814
1177,-53854.093521856754
1178,-53918.20302863307
1179,-54067.36202029372
1180,-54110.11202029372
1181,-54152.21658153788
1182,-54154.138182895906
1183,-54498.157152966756
1184,-54629.57029899971
1185,-54529.10071655719
1186,-54564.65969935115
1187,-54608.50971784252
1188,-54808.23289738453
1189,-54772.72581811821
1190,-54783.980691220015
1191,-54785.90229257804
1192,-54789.9689592447
1193,-54808.42626919628
1194,-54794.82709909713
1195,-54840.29376576381
1196,-54871.68711170245
1197,-54789.8976513477
1198,-54783.88700326374
1199,-54948.34281280766
1200,-55145.04281280766
1201,-55172.676973651716
1202,-55202.64755557029
1203,-55164.8583341729
1204,-56042.226752437986
1205,-56738.44928735086
1206,-57239.26329185377
1207,-57253.213291853775
1208,-57255.1348932118
1209,-57258.97519934725
1210,-57278.87982893236
1211,-57232.055714834656
1212,-57379.75108522203
1213,-57435.366906977426
1214,-57437.28850833545
1215,-57341.724262949705
1216,-57376.00759628304
1217,-57251.15730680597
1218,-57295.56224149733
1219,-57373.14370984078
1220,-57348.430214323394
1221,-57475.338028012906
1222,-57520.54073216148
1223,-58102.01176129814
1224,-58085.93169239513
1225,-58032.92785213708
1226,-58049.82785213708
1227,-58069.68167913431
1228,-58083.50446778452
1229,-58111.37113445119
1230,-58136.88834931509
1231,-58214.50501598176
1232,-58262.08992442876
1233,-58171.93738776095
1234,-58122.97424770985
1235,-58072.15904428177
1236,-58074.08064563979
1237,-58444.14166333882
1238,-58584.48543199257
1239,-58484.30806739284
1240,-58484.32330856328
1241,-59753.86304284927
